NAMES,SEASON,TM,GP,MPG,PPG,RPG,APG,SPG,BPG,FG%,FGM,FGA,3PM,3PA,3P%,FTM,FTA,FT%,TS%,OREB,DREB,TPG,MIN,PTS,REB,AST,STL,BLK,TOV,PF,+/-
Steven Adams,2024-25,HOU,58,13.7,3.9,5.6,1.1,0.4,0.5,1.6,2.9,54.5,0.0,0.0,0.0,0.7,1.6,46.2,54.1,2.9,2.8,0.9,794,225,327,66,22,28,54,60,+172
Giannis Antetokounmpo,2024-25,MIL,67,34.2,30.4,11.9,6.5,0.9,1.2,11.8,19.7,60.1,0.2,0.9,22.2,6.5,10.6,61.7,62.5,2.2,9.7,3.1,2289,2036,798,433,58,78,206,155,+334
Harrison Barnes,2024-25,SAS,82,27.2,12.3,3.8,1.7,0.5,0.2,4.2,8.3,50.8,1.9,4.4,43.3,2.0,2.4,80.9,65.6,1.2,2.6,0.6,2230,1011,310,136,39,14,50,75,-25
Nicolas Batum,2024-25,LAC,78,17.5,4.0,2.8,1.1,0.7,0.5,1.3,3.1,43.7,1.1,2.6,43.3,0.2,0.3,81.0,63.3,0.6,2.2,0.4,1367,313,218,84,52,36,34,111,+152
Bradley Beal,2024-25,PHX,53,32.1,17.0,3.3,3.7,1.1,0.5,6.5,13.1,49.7,1.9,5.0,38.6,2.1,2.6,80.3,59.8,0.6,2.7,1.9,1702,902,177,195,58,28,99,136,-273
Bismack Biyombo,2024-25,SAS,28,18.9,5.1,5.6,1.1,0.6,0.8,2.4,4.1,58.8,0.0,0.0,-,0.4,0.9,40.0,57.6,1.5,4.1,1.0,528,144,158,31,16,23,27,52,-100
Alec Burks,2024-25,MIA,49,17.6,7.3,2.5,1.1,0.6,0.1,2.3,5.5,42.4,1.8,4.2,42.5,0.8,1.0,77.6,60.8,0.3,2.2,0.6,863,356,124,55,28,7,29,37,+110
Jimmy Butler III,2024-25,TOT,55,31.7,17.5,5.4,5.4,1.4,0.3,5.5,10.9,50.4,0.6,1.9,30.8,6.0,7.1,84.2,62.6,2.3,3.1,1.3,1746,964,296,298,77,18,74,52,+246
Kentavious Caldwell-Pope,2024-25,ORL,77,29.6,8.7,2.2,1.8,1.3,0.4,3.1,7.1,43.9,1.5,4.3,34.2,1.1,1.2,86.3,57.4,0.4,1.8,0.8,2279,673,169,136,99,34,62,136,+10
Mike Conley,2024-25,MIN,71,24.7,8.2,2.6,4.5,1.1,0.2,2.6,6.6,40.0,1.8,4.4,41.0,1.1,1.3,90.0,57.3,0.5,2.1,1.1,1756,582,182,319,79,14,75,111,+265
